name of phone,Price of phone
"REDMI 10 (Caribbean Green, 64 GB)","₹9,499"
"POCO C31 (Shadow Gray, 64 GB)","₹7,499"
"REDMI 10 (Midnight Black, 64 GB)","₹9,499"
"REDMI 9i Sport (Carbon Black, 64 GB)","₹7,099"
"REDMI 9i Sport (Coral Green, 64 GB)","₹7,099"
"REDMI 10 (Pacific Blue, 64 GB)","₹9,499"
"realme C30s (Stripe Blue, 32 GB)","₹6,499"
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹12,499"
"realme 9i (Prism Black, 64 GB)","₹13,499"
"realme 9i (Prism Blue, 128 GB)","₹13,499"
"realme C31 (Light Silver, 32 GB)","₹8,799"
"realme C31 (Dark Green, 32 GB)","₹8,799"
"APPLE iPhone 11 (White, 128 GB)","₹45,999"
"MOTOROLA G32 (Mineral Gray, 64 GB)","₹9,999"
"MOTOROLA g52 (Metallic White, 128 GB)","₹12,999"
"POCO M4 Pro (Cool Blue, 128 GB)","₹11,999"
"MOTOROLA e40 (Pink Clay, 64 GB)","₹7,999"
"OPPO K10 (Blue Flame, 128 GB)","₹12,990"
"POCO M4 Pro (Cool Blue, 64 GB)","₹10,999"
"MOTOROLA e40 (Carbon Gray, 64 GB)","₹7,999"
"REDMI 9i Sport (Metallic Blue, 64 GB)","₹7,099"
"POCO M4 Pro (Power Black, 128 GB)","₹11,999"
"realme 9i (Prism Black, 128 GB)","₹12,499"
"realme 9i (Prism Blue, 128 GB)","₹12,499"
